-78.1183150254159,-5.640663668927543,-68.4001024254159,-1.8411636689275426|9988
-60.643469325499204,-41.80951023774039,-45.841469325499205,-34.23504303774039|9948
-164.1311525146954,-22.17837169584741,-149.1311525146954,-14.44737169584741|9922
-119.16849098708883,-34.81086305532048,-101.42649098708884,-19.33086305532048|9942
-18.08160082159756,-15.275849147440471,-2.436600821597562,-9.143849147440472|9998
-57.94977580455142,-25.01444633500485,-48.96927580455142,-21.09719633500485|9960
-32.87097841610389,-77.0366315136453,40.59252211893611,-53.755147332794586|9990
-74.43654057762362,-21.040696125018925,-62.44374807762362,-16.477696125018927|9916
-16.655746308888805,-61.901506170718946,30.546253691111193,-41.19250617071894|9976
-92.3032360186534,-66.95449431634005,-62.48323601865339,-51.954494316340046|9996
-79.9592788836764,-84.7715640626746,48.81079819578545,-66.42093640174977|9934
-175.71765834722788,-67.85860843974291,-140.4052463472279,-51.87760843974291|9966
-140.38418162806042,-54.12823293073674,-107.24018162806041,-39.12823293073674|9972
-123.07186315479181,-60.50262125902944,-90.9598631547918,-45.50262125902944|9974
-148.54257122450704,-56.08708978598224,-115.62523322450704,-40.907711385982246|9980
-127.64901326098466,-39.15231567227451,-104.71101326098466,-24.15231567227451|9948
-44.45193071030772,-83.69809696135212,17.204069289692278,-54.84409696135212|9958
-136.54720956554593,-71.82392883918317,-97.01669196554593,-55.55492883918317|9924
-178.71823676307693,-15.39630244995925,-160.79196896307693,-10.563747445959251|9986
-177.7943224038138,-50.024256718326086,-161.6431384038138,-32.96498171832609|9976
-16.74027219393219,-17.170344376215407,-1.002272193932189,-10.513344376215407|9970
-91.21474448024922,-56.86732671415088,-85.21347013780928,-10.161835479084132|9970
-4.267759787222573,-25.982012166930684,9.725851212777426,-17.516084766930682|9990
-89.29809248006508,-56.292230235819574,-63.58825415666507,-46.40245866452842|9940
-131.01813567034736,-59.46856153228321,-96.78213567034737,-44.753561532283214|10000
-55.55661166846291,-6.987755793362305,-45.4365643684629,-2.7922557933623047|9912
-19.475256958277683,-16.085692611086962,-4.2473747082776825,-9.471506436086962|9995
